#: table_doi: 10.17182/hepdata.153301.v1/t2
#: name: Covariance for full matrix inclusive from m(tt)
#: description: Covariance for full matrix measurement inclusive from $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_inclusive_from_m(tt).yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$C_{nk}^{+}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,-7.7677e-07
$C_{nk}^{+}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,1.1251e-05
$C_{nk}^{+}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-1.107e-05
$C_{nk}^{+}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,0.00070177
$C_{nk}^{+}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,1.8486e-06
$C_{nk}^{+}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,-1.1947e-05
$C_{nk}^{+}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,-9.0708e-06
$C_{nr}^{-}$ for inclusive measurement,$c$ for inclusive measurement,-3.7345e-07
$C_{nr}^{-}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-6.7243e-07
$C_{nr}^{-}$ for inclusive measurement,$P_{n}$ for inclusive measurement,-2.4521e-06
$C_{nr}^{-}$ for inclusive measurement,$P_{k}$ for inclusive measurement,2.4292e-07
$C_{nr}^{-}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-2.3266e-07
$C_{nr}^{-}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,4.6244e-06
$C_{nr}^{-}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-2.7423e-08
$C_{nr}^{-}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,-9.5145e-07
$C_{nr}^{-}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,-9.0565e-07
$C_{nr}^{-}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,-6.5213e-07
$C_{nr}^{-}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,8.2593e-07
$C_{nr}^{-}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,-4.6979e-06
$C_{nr}^{-}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,1.8486e-06
$C_{nr}^{-}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,0.00028577
$C_{nr}^{-}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,1.0563e-06
$C_{nr}^{-}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,6.3312e-05
$C_{rk}^{-}$ for inclusive measurement,$c$ for inclusive measurement,-2.0292e-06
$C_{rk}^{-}$ for inclusive measurement,$P_{r}$ for inclusive measurement,6.4112e-05
$C_{rk}^{-}$ for inclusive measurement,$P_{n}$ for inclusive measurement,-2.1374e-06
$C_{rk}^{-}$ for inclusive measurement,$P_{k}$ for inclusive measurement,1.4347e-05
$C_{rk}^{-}$ for inclusive measurement,$\bar{P}_{r}$ for inclusive measurement,-6.8574e-05
$C_{rk}^{-}$ for inclusive measurement,$\bar{P}_{n}$ for inclusive measurement,-6.4476e-07
$C_{rk}^{-}$ for inclusive measurement,$\bar{P}_{k}$ for inclusive measurement,-1.0228e-05
$C_{rk}^{-}$ for inclusive measurement,$C_{rr}$ for inclusive measurement,-5.159e-06
$C_{rk}^{-}$ for inclusive measurement,$C_{nn}$ for inclusive measurement,-4.6141e-06
$C_{rk}^{-}$ for inclusive measurement,$C_{kk}$ for inclusive measurement,-3.4853e-06
$C_{rk}^{-}$ for inclusive measurement,$C_{nr}^{+}$ for inclusive measurement,-3.6214e-06
$C_{rk}^{-}$ for inclusive measurement,$C_{rk}^{+}$ for inclusive measurement,3.0832e-06
$C_{rk}^{-}$ for inclusive measurement,$C_{nk}^{+}$ for inclusive measurement,-1.1947e-05
$C_{rk}^{-}$ for inclusive measurement,$C_{nr}^{-}$ for inclusive measurement,1.0563e-06
$C_{rk}^{-}$ for inclusive measurement,$C_{rk}^{-}$ for inclusive measurement,0.0009249
$C_{rk}^{-}$ for inclusive measurement,$C_{nk}^{-}$ for inclusive measurement,-8.2232e-07
$C_{nk}^{-}$ for inclusive measurement,$c$ for inclusive measurement,-1.4096e-08
$C_{nk}^{-}$ for inclusive measurement,$P_{r}$ for inclusive measurement,-1.0481e-06
$C_{nk}^{-}$ for inclusive measurement,$P_{n}$ for inclusive measurement,4.9451e-05
