#: table_doi: 10.17182/hepdata.153301.v1/t10
#: name: Covariance for full matrix m(tt) differential
#: description: Covariance for full matrix measurement differential in $m(t\bar{t})$
#: data_file: covariance_for_full_matrix_m(tt)_differential.yaml
#: keyword reactions: P P --> TOP TOPBAR
#: keyword cmenergies: 13000
#: RE,P P --> TOP TOPBAR
#: SQRT(S) [TeV],13
#: LUMI [fb$^{-1}$],138
x-axis,y-axis,Covariance
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{+}$ for $m(t\bar{t}) > 800 $ GeV,-4.0927e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{+}$ for $m(t\bar{t}) > 800 $ GeV,2.9076e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nr}^{-}$ for $m(t\bar{t}) > 800 $ GeV,-2.5458e-06
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rk}^{-}$ for $m(t\bar{t}) > 800 $ GeV,-1.3592e-05
$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nk}^{-}$ for $m(t\bar{t}) > 800 $ GeV,9.2029e-07
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$c$ for $300 < m(t\bar{t}) < 400 $ GeV,-4.1987e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,-2.7553e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,0.00083015
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$P_{k}$ for $300 < m(t\bar{t}) < 400 $ GeV,7.766e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{r}$ for $300 < m(t\bar{t}) < 400 $ GeV,5.1779e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,3.5446e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$\bar{P}_{k}$ for $300 < m(t\bar{t}) < 400 $ GeV,1.4607e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{rr}$ for $300 < m(t\bar{t}) < 400 $ GeV,4.9534e-06
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{nn}$ for $300 < m(t\bar{t}) < 400 $ GeV,2.6753e-05
$P_{n}$ for $300 < m(t\bar{t}) < 400 $ GeV,$C_{kk}$ for $300 < m(t\bar{t}) < 400 $ GeV,1.3595e-05
